city_name,AQI,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,coord.lon,coord.lat,Year,Month
Cebu City,52.7979798,295.3510606,0.128686869,3.847929293,55.49419192,2.980555556,5.110858586,7.363535354,2.274040404,123.8907,10.3167,2024,1
City of Marikina,50.01010101,494.2234343,0.636414141,10.56530303,60.58989899,7.719292929,9.793181818,17.87949495,4.066616162,121.1,14.6333,2024,1
City of Masbate,48.72727273,242.6693939,0.013636364,0.752424242,71.06025253,1.880808081,3.726363636,5.966717172,0.287878788,123.5833,12.3333,2024,1
City of Passi,51.79292929,297.8960101,0.051616162,2.424545455,59.47949495,1.421616162,5.760707071,7.608838384,1.504191919,122.65,11.15,2024,1
City of Sorsogon,50.57360406,246.4264467,0.013350254,0.696751269,72.32680203,2.934568528,3.401725888,5.949340102,0.405380711,123.9833,12.9833,2024,1
Cotabato,51.18781726,392.9871066,0.05964467,4.703807107,31.77761421,0.689441624,8.435685279,10.3819797,4.966142132,124.2464,7.2236,2024,1
Dagupan,49.32828283,308.954899,0.041818182,1.306818182,62.34989899,0.267323232,7.562474747,10.63292929,0.92,121.5047,17.7061,2024,1
Danao,52.38383838,242.5174747,0.045050505,2.613686869,66.04222222,2.644747475,3.510050505,5.113686869,0.576414141,124.0272,10.5208,2024,1
Dapitan,51.2284264,295.3253807,0.129086294,3.85071066,55.45274112,2.980253807,5.116040609,7.370456853,2.27715736,123.9469,10.2706,2024,1
Dasmari?s,49.82323232,458.1649495,0.29020202,11.78313131,79.52313131,12.21444444,10.41954545,16.98171717,3.881212121,120.9367,14.3294,2024,1
Davao,50.23232323,278.9059091,0.109848485,4.59979798,43.6190404,1.178787879,2.131010101,3.345707071,1.026818182,125.6128,7.0731,2024,1
Digos,52.96464646,300.1633838,0.067727273,3.521919192,36.61484848,0.658636364,3.801464646,4.758888889,1.728030303,125.3572,6.7497,2024,1
Dipolog,50.26395939,227.7795939,0.013604061,0.599390863,66.50294416,0.370253807,1.440964467,2.327411168,0.170253807,123.3414,8.5894,2024,1
Dumaguete,49.96464646,247.1368687,0.025757576,1.766515152,61.75444444,1.143080808,3.150909091,4.283888889,0.825808081,123.3081,9.3103,2024,1
El Salvador,48.4040404,235.4287374,0.017575758,0.988282828,61.74080808,0.447070707,2.178686869,3.25979798,0.909747475,124.5225,8.5631,2024,1
Escalante,55.83333333,236.0779293,0.008383838,0.357171717,71.4210101,1.321010101,3.100606061,5.417828283,0.055151515,123.4992,10.8403,2024,1
Gapan,53.22335025,480.8050761,0.332335025,6.923451777,58.76893401,1.374771574,10.09974619,13.80720812,5.040659898,120.9464,15.3072,2024,1
General Santos,50.08121827,340.8693909,0.026548223,3.882233503,35.34076142,0.660761421,5.294670051,6.643857868,3.454720812,125.1717,6.1128,2024,1
General Trias,46.89847716,456.6614213,0.291675127,11.7142132,79.71619289,12.18568528,10.37274112,16.91055838,3.869390863,120.8817,14.3869,2024,1
Gingoog City,53.17171717,223.5108586,0.009646465,0.607323232,62.20585859,0.187121212,1.431161616,2.402676768,0.286565657,125.1167,8.8333,2024,1
Himamaylan,50.04060914,310.9640102,0.086446701,3.26822335,62.80248731,1.412690355,5.105431472,6.833350254,2.818680203,122.8706,10.0989,2024,1
Ilagan,52.17766497,492.5299492,0.214467005,5.720609137,51.55807107,0.882030457,15.14446701,18.65152284,8.112893401,121.8892,17.1485,2024,1
Iligan City,50.33838384,241.9357071,0.047323232,2.239090909,64.1729798,1.912373737,2.839090909,4.098787879,0.723333333,124.4,8.25,2024,1
Iloilo City,50.85858586,282.4711111,0.039646465,1.567121212,68.46631313,1.273383838,4.43989899,5.865606061,1.132474747,122.55,10.75,2024,1
Imus,51.08585859,701.440404,0.653737374,18.87767677,81.73010101,14.54868687,22.01969697,34.95217172,6.798030303,120.9367,14.4297,2024,1
